TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2024-10-04 02:58:00,-2.758,-1.988,0.000,-0.127
2024-10-04 02:59:00,-2.758,-1.988,0.000,-0.255
2024-10-04 03:00:00,-2.758,-1.988,0.000,-0.127
2024-10-04 03:01:00,-2.758,-1.988,0.000,0.000
2024-10-04 03:02:00,-2.758,-1.988,0.000,-0.255
2024-10-04 03:03:00,-2.758,-1.988,0.000,-0.127
2024-10-04 03:04:00,-2.758,-1.988,0.000,0.000
2024-10-04 03:05:00,-2.758,-1.988,0.000,0.000
2024-10-04 03:06:00,-2.758,-1.988,0.000,-0.127
2024-10-04 03:07:00,-3.269,-2.584,0.000,-0.127
2024-10-04 03:08:00,-3.371,-2.584,0.000,-0.127
2024-10-04 03:09:00,-3.371,-2.584,0.000,-0.255
2024-10-04 03:10:00,-3.371,-2.386,0.000,-0.255
2024-10-04 03:11:00,-3.064,-1.988,0.000,-0.255
2024-10-04 03:12:00,-2.758,-1.988,0.000,-0.255
2024-10-04 03:13:00,-2.758,-1.988,0.000,-0.255
2024-10-04 03:14:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:15:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:16:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:17:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:18:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:19:00,-3.064,-1.988,0.000,-0.255
2024-10-04 03:20:00,-3.269,-1.988,-0.602,-0.127
2024-10-04 03:21:00,-2.758,-1.988,-1.205,0.000
2024-10-04 03:22:00,-2.758,-1.988,-1.406,0.127
2024-10-04 03:23:00,-2.758,-1.988,-1.406,0.127
2024-10-04 03:24:00,-3.166,-1.988,-1.406,0.000
2024-10-04 03:25:00,-3.371,-1.988,-0.803,-0.127
2024-10-04 03:26:00,-3.371,-2.386,-0.602,-0.255
2024-10-04 03:27:00,-3.371,-2.584,-0.602,-0.382
2024-10-04 03:28:00,-3.371,-2.187,-0.602,-0.382
2024-10-04 03:29:00,-3.064,-1.988,-0.602,-0.382
2024-10-04 03:30:00,-2.860,-1.988,-0.602,-0.382
2024-10-04 03:31:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:32:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:33:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:34:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:35:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:36:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:37:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:38:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 03:39:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 03:40:00,-2.758,-1.988,0.000,-0.382
2024-10-04 03:41:00,-2.758,-1.988,-0.402,-0.510
2024-10-04 03:42:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:43:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:44:00,-2.758,-1.988,-0.602,-0.510
2024-10-04 03:45:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 03:46:00,-2.758,-2.386,-0.602,-0.510
2024-10-04 03:47:00,-2.758,-2.584,-0.602,-0.510
2024-10-04 03:48:00,-2.962,-2.584,-0.602,-0.382
2024-10-04 03:49:00,-3.064,-2.584,-0.602,-0.510
2024-10-04 03:50:00,-3.371,-2.584,-0.602,-0.382
2024-10-04 03:51:00,-3.371,-2.584,-0.602,-0.382
2024-10-04 03:52:00,-3.371,-2.584,-0.602,-0.510
2024-10-04 03:53:00,-3.064,-2.386,-0.602,-0.637
2024-10-04 03:54:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 03:55:00,-2.758,-1.988,-0.602,-0.764
2024-10-04 03:56:00,-2.758,-1.988,-0.602,-0.764
2024-10-04 03:57:00,-2.758,-2.187,-0.602,-0.764
2024-10-04 03:58:00,-2.758,-2.584,-0.602,-0.764
2024-10-04 03:59:00,-3.064,-2.584,-0.201,-0.764
2024-10-04 04:00:00,-3.269,-2.584,-0.602,-0.637
2024-10-04 04:01:00,-3.371,-2.584,-0.602,-0.892
2024-10-04 04:02:00,-3.064,-2.584,-0.602,-0.764
2024-10-04 04:03:00,-2.758,-2.187,-0.602,-0.510
2024-10-04 04:04:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 04:05:00,-2.758,-1.988,-0.602,-0.510
2024-10-04 04:06:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:07:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:08:00,-2.758,-2.187,-0.602,-0.382
2024-10-04 04:09:00,-2.758,-2.584,-0.602,-0.382
2024-10-04 04:10:00,-2.758,-2.187,-0.201,-0.382
2024-10-04 04:11:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:12:00,-2.758,-1.988,0.000,-0.510
2024-10-04 04:13:00,-2.758,-1.988,0.000,-0.510
2024-10-04 04:14:00,-2.758,-1.988,0.000,-0.510
2024-10-04 04:15:00,-2.962,-2.187,0.000,-0.510
2024-10-04 04:16:00,-2.860,-1.988,-0.201,-0.382
2024-10-04 04:17:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 04:18:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:19:00,-2.860,-1.988,-0.602,-0.382
2024-10-04 04:20:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:21:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:22:00,-2.758,-1.988,-0.602,-0.255
2024-10-04 04:23:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:24:00,-2.758,-1.988,-0.602,-0.255
2024-10-04 04:25:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:26:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:27:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:28:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:29:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 04:30:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:31:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:32:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:33:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:34:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:35:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:36:00,-2.758,-1.988,-0.402,-0.510
2024-10-04 04:37:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:38:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:39:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:40:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 04:41:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:42:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:43:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:44:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:45:00,-2.962,-2.584,-0.602,-0.382
2024-10-04 04:46:00,-3.064,-2.584,-0.602,-0.382
2024-10-04 04:47:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:48:00,-2.758,-1.988,-0.402,-0.382
2024-10-04 04:49:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:50:00,-2.860,-1.988,-0.201,-0.510
2024-10-04 04:51:00,-2.758,-1.988,0.000,-0.382
2024-10-04 04:52:00,-2.758,-1.988,-0.201,-0.510
2024-10-04 04:53:00,-2.758,-1.988,-0.602,-0.510
2024-10-04 04:54:00,-2.758,-1.988,-0.201,-0.510
2024-10-04 04:55:00,-2.758,-1.988,0.000,-0.637
2024-10-04 04:56:00,-2.758,-1.988,0.000,-0.510
2024-10-04 04:57:00,-2.758,-1.988,-0.201,-0.510
2024-10-04 04:58:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 04:59:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:00:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:01:00,-2.758,-1.988,-0.803,-0.510
2024-10-04 05:02:00,-2.758,-1.988,-0.602,-0.510
2024-10-04 05:03:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 05:04:00,-2.758,-2.584,-0.602,-0.764
2024-10-04 05:05:00,-2.962,-2.386,-0.602,-0.764
2024-10-04 05:06:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 05:07:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 05:08:00,-2.758,-1.988,-0.602,-0.637
2024-10-04 05:09:00,-2.758,-1.988,-0.602,-0.764
2024-10-04 05:10:00,-2.758,-1.988,-0.201,-0.764
2024-10-04 05:11:00,-2.860,-1.988,0.000,-0.637
2024-10-04 05:12:00,-3.064,-1.988,0.000,-0.764
2024-10-04 05:13:00,-2.962,-1.988,0.000,-0.637
2024-10-04 05:14:00,-3.064,-2.386,0.000,-0.637
2024-10-04 05:15:00,-3.371,-2.584,-0.402,-0.510
2024-10-04 05:16:00,-3.371,-2.584,-0.602,-0.510
2024-10-04 05:17:00,-3.371,-2.584,-0.602,-0.510
2024-10-04 05:18:00,-3.371,-2.783,-0.602,-0.510
2024-10-04 05:19:00,-3.371,-3.181,-0.602,-0.510
2024-10-04 05:20:00,-3.371,-3.380,-0.402,-0.764
2024-10-04 05:21:00,-3.371,-3.380,0.000,-0.764
2024-10-04 05:22:00,-3.371,-3.181,0.000,-0.892
2024-10-04 05:23:00,-3.371,-2.584,0.000,-0.892
2024-10-04 05:24:00,-3.371,-2.584,0.000,-0.892
2024-10-04 05:25:00,-3.371,-2.584,0.000,-0.892
2024-10-04 05:26:00,-3.371,-2.584,-0.402,-0.892
2024-10-04 05:27:00,-3.371,-2.584,-0.602,-0.764
2024-10-04 05:28:00,-3.371,-2.584,-0.602,-0.764
2024-10-04 05:29:00,-3.371,-2.584,-0.602,-0.764
2024-10-04 05:30:00,-3.371,-2.584,-0.602,-0.764
2024-10-04 05:31:00,-3.371,-2.386,-0.402,-0.764
2024-10-04 05:32:00,-3.064,-1.988,0.000,-0.637
2024-10-04 05:33:00,-2.758,-1.988,-0.402,-0.637
2024-10-04 05:34:00,-2.758,-1.988,-0.402,-0.510
2024-10-04 05:35:00,-2.758,-1.988,-0.402,-0.510
2024-10-04 05:36:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 05:37:00,-2.758,-1.988,-0.402,-0.382
2024-10-04 05:38:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:39:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:40:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:41:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 05:42:00,-2.758,-1.988,-0.402,-0.382
2024-10-04 05:43:00,-2.758,-1.988,0.000,-0.382
2024-10-04 05:44:00,-2.758,-1.988,0.000,-0.382
2024-10-04 05:45:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 05:46:00,-3.371,-2.584,-0.402,-0.382
2024-10-04 05:47:00,-3.371,-2.584,-0.602,-0.382
2024-10-04 05:48:00,-3.269,-2.584,-0.602,-0.382
2024-10-04 05:49:00,-3.269,-2.584,-0.602,-0.382
2024-10-04 05:50:00,-3.269,-2.584,-0.602,-0.382
2024-10-04 05:51:00,-3.166,-2.584,-0.602,-0.382
2024-10-04 05:52:00,-2.758,-2.584,-0.602,-0.382
2024-10-04 05:53:00,-2.758,-2.584,-0.602,-0.382
2024-10-04 05:54:00,-2.758,-2.187,-0.602,-0.382
2024-10-04 05:55:00,-2.758,-1.988,-0.803,-0.382
2024-10-04 05:56:00,-2.962,-1.988,-1.004,-0.382
2024-10-04 05:57:00,-2.758,-1.988,-1.205,-0.382
2024-10-04 05:58:00,-2.758,-1.988,-1.004,-0.382
2024-10-04 05:59:00,-2.758,-1.988,-1.004,-0.382
2024-10-04 06:00:00,-2.758,-1.988,-0.803,-0.382
2024-10-04 06:01:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:02:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:03:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:04:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:05:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:06:00,-2.758,-1.988,-1.004,-0.382
2024-10-04 06:07:00,-2.758,-1.988,-0.803,-0.382
2024-10-04 06:08:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:09:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:10:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:11:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:12:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:13:00,-2.656,-1.988,-0.602,-0.382
2024-10-04 06:14:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:15:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:16:00,-2.758,-1.988,-0.402,-0.510
2024-10-04 06:17:00,-2.758,-1.988,-0.201,-0.510
2024-10-04 06:18:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:19:00,-2.758,-1.988,-0.402,-0.382
2024-10-04 06:20:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:21:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:22:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:23:00,-2.758,-1.988,-0.602,-0.255
2024-10-04 06:24:00,-2.758,-1.988,-0.602,-0.382
2024-10-04 06:25:00,-2.758,-1.988,-0.602,-0.255
2024-10-04 06:26:00,-2.758,-1.988,-0.602,-0.255
2024-10-04 06:27:00,-2.758,-1.988,-0.803,0.000
2024-10-04 06:28:00,-2.758,-1.988,-1.406,0.000
2024-10-04 06:29:00,-2.758,-1.988,-1.406,0.127
2024-10-04 06:30:00,-2.758,-1.988,-1.406,0.127
2024-10-04 06:31:00,-2.758,-1.988,-0.803,0.382
2024-10-04 06:32:00,-2.758,-2.187,-1.205,0.255
2024-10-04 06:33:00,-2.758,-2.584,-0.803,0.127
2024-10-04 06:34:00,-2.962,-2.584,-0.602,0.127
2024-10-04 06:35:00,-2.758,-2.584,0.000,0.000
2024-10-04 06:36:00,-2.758,-2.584,0.000,-0.127
2024-10-04 06:37:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:38:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:39:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:40:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:41:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:42:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:43:00,-2.758,-1.988,0.000,-0.510
2024-10-04 06:44:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:45:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:46:00,-2.758,-1.988,-0.201,-0.382
2024-10-04 06:47:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:48:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:49:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:50:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:51:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:52:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:53:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:54:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:55:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:56:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:57:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:58:00,-2.758,-1.988,0.000,-0.382
2024-10-04 06:59:00,-2.758,-1.988,0.000,-0.382
2024-10-04 07:00:00,-2.758,-1.988,0.000,-0.382
2024-10-04 07:01:00,-2.758,-2.386,-0.602,-0.382
2024-10-04 07:02:00,-3.166,-2.584,-0.602,-0.382
2024-10-04 07:03:00,-3.064,-2.386,0.000,-0.382
2024-10-04 07:04:00,-2.758,-1.988,0.000,-0.382
2024-10-04 07:05:00,-2.758,-1.988,0.000,-0.382
2024-10-04 07:06:00,-2.758,-1.988,-0.201,-0.382
