TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2025-05-30 00:00:00,-2.145,-1.988,-1.406,-1.019
2025-05-30 00:01:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:02:00,-2.043,-1.988,-1.406,-1.146
2025-05-30 00:03:00,-2.043,-1.988,-1.807,-1.274
2025-05-30 00:04:00,-2.043,-1.988,-1.807,-1.401
2025-05-30 00:05:00,-2.043,-1.988,-2.209,-1.401
2025-05-30 00:06:00,-2.043,-1.988,-1.807,-1.401
2025-05-30 00:07:00,-2.043,-1.988,-1.807,-1.401
2025-05-30 00:08:00,-2.043,-1.988,-1.606,-1.401
2025-05-30 00:09:00,-2.043,-1.988,-1.606,-1.274
2025-05-30 00:10:00,-2.043,-1.988,-1.406,-1.274
2025-05-30 00:11:00,-2.043,-1.988,-1.406,-1.146
2025-05-30 00:12:00,-2.043,-1.988,-1.205,-0.892
2025-05-30 00:13:00,-2.043,-1.988,-1.205,-1.019
2025-05-30 00:14:00,-2.043,-1.988,-0.803,-0.892
2025-05-30 00:15:00,-2.043,-1.988,-0.602,-0.892
2025-05-30 00:16:00,-2.043,-1.988,-0.803,-0.892
2025-05-30 00:17:00,-2.043,-1.988,-0.602,-0.892
2025-05-30 00:18:00,-2.043,-1.988,-0.803,-0.892
2025-05-30 00:19:00,-2.043,-1.988,-1.205,-0.892
2025-05-30 00:20:00,-1.839,-1.988,-1.205,-0.892
2025-05-30 00:21:00,-1.839,-1.988,-1.406,-1.019
2025-05-30 00:22:00,-2.043,-1.988,-1.406,-1.146
2025-05-30 00:23:00,-2.043,-1.988,-1.406,-1.146
2025-05-30 00:24:00,-2.043,-1.988,-1.205,-1.146
2025-05-30 00:25:00,-2.043,-1.988,-0.803,-1.274
2025-05-30 00:26:00,-2.043,-1.988,-0.201,-1.019
2025-05-30 00:27:00,-2.043,-1.988,0.000,-1.019
2025-05-30 00:28:00,-2.043,-1.988,-0.402,-0.892
2025-05-30 00:29:00,-2.043,-1.988,-0.803,-0.892
2025-05-30 00:30:00,-2.043,-1.988,-1.004,-0.892
2025-05-30 00:31:00,-2.043,-1.988,-1.205,-0.892
2025-05-30 00:32:00,-2.043,-1.988,-1.205,-1.019
2025-05-30 00:33:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:34:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:35:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:36:00,-2.043,-1.988,-1.406,-1.146
2025-05-30 00:37:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:38:00,-2.043,-1.988,-1.406,-1.019
2025-05-30 00:39:00,-2.043,-1.988,-1.406,-1.146
